84:38:38:8B:75:7D,Thu Jun 09 22:20:52 2016,Thu Jun 09 22:20:52 2016,"Samsung Electro Mechanics co., LTD."
50:2E:5C:3A:78:DF,Thu Jun 09 20:20:55 2016,Thu Jun 09 22:22:32 2016,HTC Corporation
02:18:D1:73:62:C4,Thu Jun 09 22:25:41 2016,Thu Jun 09 22:25:41 2016,Unknown
D2:47:CD:4A:36:E0,Thu Jun 09 22:28:09 2016,Thu Jun 09 22:28:09 2016,Unknown
70:EC:E4:79:23:25,Thu Jun 09 22:30:42 2016,Thu Jun 09 22:30:42 2016,"Apple, Inc."
B2:59:B9:08:12:AD,Thu Jun 09 22:38:09 2016,Thu Jun 09 22:38:09 2016,Unknown
24:E3:14:AF:66:9A,Thu Jun 09 22:40:37 2016,Thu Jun 09 22:41:06 2016,"Apple, Inc."
A6:0F:B7:08:04:2B,Thu Jun 09 22:45:44 2016,Thu Jun 09 22:45:44 2016,Unknown
04:F7:E4:AA:77:34,Thu Jun 09 22:45:57 2016,Thu Jun 09 22:46:09 2016,"Apple, Inc."
C8:E0:EB:9A:71:75,Thu Jun 09 22:50:05 2016,Thu Jun 09 22:50:05 2016,"Apple, Inc."
62:17:D5:87:60:57,Thu Jun 09 22:50:31 2016,Thu Jun 09 22:50:31 2016,Unknown
D8:BB:2C:2C:F3:D9,Thu Jun 09 22:51:12 2016,Thu Jun 09 22:52:18 2016,"Apple, Inc."
A2:04:4B:41:05:8B,Thu Jun 09 22:51:31 2016,Thu Jun 09 22:54:28 2016,Unknown
24:F0:94:84:CC:2A,Thu Jun 09 20:15:47 2016,Thu Jun 09 23:03:57 2016,"Apple, Inc."
48:86:E8:7D:6A:34,Thu Jun 09 23:04:29 2016,Thu Jun 09 23:04:29 2016,Microsoft Corporation
00:27:22:EE:7C:3A,Thu Jun 09 21:04:39 2016,Thu Jun 09 23:05:31 2016,Ubiquiti Networks
00:AE:FA:FC:55:E1,Thu Jun 09 20:19:20 2016,Thu Jun 09 23:09:31 2016,"Murata Manufacturing Co., Ltd."
00:24:81:D4:4D:C0,Thu Jun 09 23:13:32 2016,Thu Jun 09 23:13:32 2016,Hewlett Packard
DC:2B:2A:38:51:A6,Thu Jun 09 23:17:31 2016,Thu Jun 09 23:19:43 2016,"Apple, Inc."
